pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
two-triangles,2X3,720,10,True,72,2315,485,485,0,1.59821693059193,13.605146837420907,24.18042233071413,13.449119562491287,1.913948149321524,13.449118563295846,0.013103477683968023,1,1,0.08196115971492667,0.0628001870753773,0.19649920582880626,2.3974673676197393,True,True,7.383661320357003e-15,2.8972354183975677e-15,6.791500675411789e-15,True,0.06381402746950593,0.4431883781158899,True,A-D|B-F|C-A|D-B|E-C|F-E
two-triangles,pentagon,360,10,True,0,1296,249,249,0,1.5260970506948484,14.056714220850118,24.042323971263784,13.814798002628127,1.898599923748546,13.814770953265636,0.013436347711609287,1,1,0.08182541487084713,0.04291501755928883,0.19786888161803753,2.4181836649450896,True,True,1.2848030544315634e-14,8.273629362460385e-15,9.829493681787523e-15,True,0.08362358299111744,0.4331407140208836,True,A-E|B-A|C-C|D-D|E-B|F-E
two-triangles,vertical-parallelepiped,720,10,True,64,2555,507,507,0,1.619508501368385,13.730600098252278,24.110243131196068,13.570876115525992,1.8744220065508175,13.570876016184187,0.012595604450057252,1,1,0.07971141614239602,0.044999846697151034,0.19112061180842763,2.397656710389022,True,True,1.927849892154657e-14,1.2538700354033592e-14,1.4643821704044002e-14,True,0.06381402746950593,0.4431883781158899,True,A-C|B-D|C-A|D-E|E-B|F-F
rhombus-ext,2X3,180,10,True,52,296,97,97,0,2.1341952432716544,13.87897061414397,23.174431942909173,13.688158205152893,1.5332576561030762,13.688155889367279,0.013376292241010113,1,1,0.07934576768425124,0.040596190192042206,0.19249861794691503,2.4260729156083607,True,True,2.1352391560731846e-14,1.7688818007004536e-14,1.1959529375267435e-14,True,0.2057413590396566,0.4179157688864527,True,A-B|A-E|B-A|C-D|D-C|D-F
two-triangles,rectangle-same,180,10,True,6,792,110,110,0,1.8555627828576478,14.48498929237391,21.832649856865785,14.159294140991658,2.2049940008652817,14.159255271943266,0.014912803109299766,2,1,0.07929366181677094,0.07403124162695397,0.18929262055138615,2.3872351990603864,True,True,7.007609531788139e-15,5.329070518200751e-15,4.550560269027492e-15,True,0.09819260648924258,0.32651322683833955,True,A-D|B-C|C-A|D-A|E-C|F-B
2X3,rectangle-same,180,10,True,60,147,106,106,0,1.9353045203701713,14.854940779365794,21.703280754211267,14.619564512271902,1.9678912667299295,14.619396716973988,0.01764504255765864,3,1,0.07897373159916832,0.089578567507194,0.18850936377499367,2.4023883618667004,True,True,1.2840246461466052e-14,7.53644380168212e-15,1.0395861869767154e-14,True,0.2720719740097186,0.4179157688864527,True,A-D|B-A|C-C|D-A|E-B|F-C
parallelepiped-int,2X3,180,10,True,52,342,102,102,0,2.5088198975854525,13.724821770452056,22.425577165784123,13.612673997595095,1.8603762267367387,13.61265544369058,0.015670251674794855,1,1,0.07839517805178851,0.03436818559504472,0.18915447943936697,2.4128330866779835,True,True,3.76822190084106e-15,3.2023728339893768e-15,1.9860273225978185e-15,True,0.32134017747260035,0.3914966099903299,True,A-E|B-A|B-C|C-B|C-D|D-F
rhombus-int,rectangle-same,34,10,True,8,75,19,19,0,2.1406945636271804,14.78009033211961,21.49599696567087,14.01716368019874,1.7950454729785152,14.011355583378144,0.013028250812583408,1,1,0.07730757313581761,0.05214091184106792,0.18632873124041832,2.410226109582656,True,True,1.1562528671410162,0.5108994840123279,1.0372571571253473,True,0.21208042512686553,0.4633533918727237,True,A-B|B-A|B-C|C-A|C-C|D-D
parallelepiped-ext,pyramid,180,10,True,8,598,135,135,0,1.7290391439928507,12.850489351264052,25.30438142337293,12.649071452341243,2.0449504874492224,12.649071452341243,0.01617459835333257,2,1,0.07431273302044109,0.024146584311194926,0.1811344754622413,2.504126174409558,True,True,7.734199591988304e-15,2.5989654674417885e-15,7.284450688127219e-15,True,0.15075393119658123,0.4182034220705242,True,A-A|A-E|B-C|C-B|D-D|D-F
parallelepiped-int,rectangle-opposite,34,10,True,14,84,16,16,0,8.82397620779657,13.323340548767604,21.684789197465093,13.20987250488399,1.6117016983220647,13.209831345052525,0.017348969918566937,1,1,0.07415316916327826,0.032461400254312454,0.1774213760701493,2.3926337616061186,True,True,7.771561172376096e-15,5.183683495748049e-15,5.7902148899581444e-15,True,0.06381402746950593,0.4431883781158899,True,A-B|B-A|B-D|C-A|C-C|D-D
pentagon,rectangle-same,78,10,True,0,400,42,42,0,2.4389043109142015,14.557658523096354,22.41417588135005,13.567600589347927,2.787887481194055,13.567248302032791,0.026685783152078812,1,1,0.07264073947063907,0.08863467488336661,0.17541963231495694,2.4148932622837695,True,True,8.487217530380238e-15,4.6204489227285734e-15,7.119291619286993e-15,True,0.051796682337130966,0.5076261603200616,True,A-B|B-A|C-C|D-D|E-A|E-C
