pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
pentagon,rectangle-same,78,10,True,0,400,42,42,0,2.5441483233917346,14.418473666258205,22.34058763118284,14.078761419533048,2.5060938084521167,14.078634595333785,0.0026293851163945448,2,1,0.0831813363592999,0.07207353363086383,0.20053977595791778,2.4108746593309194,True,True,7.900378338065873e-15,5.196619567088054e-15,5.950724574330261e-15,True,0.17899285817858254,0.3503071239504709,True,A-D|B-A|C-B|D-C|E-A|E-C
two-triangles,pentagon,360,10,True,0,1290,249,249,0,1.6688918941442317,14.024504076000511,24.01593243380264,13.807301128034059,1.867124271262019,13.807278424774534,0.0010499663834755424,1,1,0.08182541487084713,0.04291501755928883,0.19786888161803753,2.4181836649450896,True,True,5.0242958677880805e-15,3.972054645195637e-15,3.076740298213702e-15,True,0.08362358299111744,0.4331407140208836,True,A-E|B-A|C-C|D-D|E-B|F-E
two-triangles,rectangle-same,180,10,True,6,790,110,110,0,1.9615592331829663,14.422482989830009,21.82923005607321,13.663500922499736,2.1077862556093407,13.66350092123644,0.0011565801724682245,2,1,0.07929366181677094,0.07403124162695397,0.18929262055138615,2.3872351990603864,True,True,1.4259884493230333e-14,8.888027007547732e-15,1.11511112304278e-14,True,0.09819260648924258,0.32651322683833955,True,A-D|B-C|C-A|D-A|E-C|F-B
rhombus-int,rectangle-same,34,10,True,8,74,19,19,0,2.0544198836286545,14.875648731141915,21.473863635504117,14.762624863269604,1.8455905662247316,14.762592333194576,0.0019612969749509546,1,1,0.07730757313581761,0.05214091184106792,0.18632873124041832,2.410226109582656,True,True,8.203639191033915e-15,3.58724037616909e-15,7.377764055609925e-15,True,0.21208042512686553,0.4633533918727237,True,A-B|B-A|B-C|C-A|C-C|D-D
rhombus-ext,2X3,180,10,True,52,301,97,97,0,1.8447977789740162,13.863595957694152,23.12338086133664,13.681121169986831,1.6289660385734457,13.681121169665996,0.0013332097303386803,2,1,0.07643206855689902,0.04050936415116719,0.18540820276268902,2.425790721922748,True,True,6.296051182078799e-15,1.7763568394002505e-15,6.0402662910232525e-15,True,0.23992542840060163,0.4475031594694418,True,A-A|A-D|B-C|C-F|D-B|D-E
parallelepiped-int,2X3,180,10,True,52,342,102,102,0,2.228098213541097,13.72128610411212,22.414474263435476,13.592970242780751,1.8943529050000465,13.592954260987995,0.0012821246765994943,2,1,0.07562272650157041,0.034238464888374565,0.18242541991859773,2.4123094783525083,True,True,1.3586517280808823e-14,1.2716779685529958e-14,4.782987168225453e-15,True,0.33932627231088497,0.3914966099903299,True,A-A|B-C|B-E|C-D|C-F|D-B
parallelepiped-int,rectangle-opposite,34,10,True,14,84,16,16,0,8.81812287448807,13.308440090930777,21.66397071746895,13.209831883915012,1.5917476717014367,13.209831345052525,0.0011949046743930936,1,1,0.07415316916327826,0.032461400254312454,0.1774213760701493,2.3926337616061186,True,True,2.4956075105512662e-14,2.174223763676801e-14,1.2250746394334408e-14,True,0.06381402746950593,0.4431883781158899,True,A-B|B-A|B-D|C-A|C-C|D-D
vertical-parallelepiped,pentagon,360,10,True,0,1707,242,242,0,1.730209811831316,13.896515490662088,23.65509771490401,13.692495919690687,1.908062998647659,13.692495304036733,0.0009049926664683738,1,1,0.07269484304189201,0.04464038851492533,0.17348764992230276,2.3865193549193946,True,True,9.329171936171834e-15,8.297008158848376e-15,4.265337574760008e-15,True,0.05737978451658931,0.47076339333202394,True,A-B|B-C|C-D|D-E|E-E|F-A
rectangle-opposite,pyramid,180,10,True,10,541,122,122,0,2.050029407464921,12.75822338169306,25.44913016314392,12.490023990256123,1.9952222371772588,12.489995398898959,0.0014727175115574198,2,1,0.07232202358695859,0.05985498519177075,0.1729882237959339,2.3919162547759223,True,True,7.68804393986315e-15,1.9929972195927004e-15,7.425226037230266e-15,True,0.07227321763638558,0.4182034220705242,True,A-A|A-E|B-C|C-B|D-D|D-F
base-trapezoid,rectangle-same,78,10,True,18,139,47,47,0,2.778366932410217,15.099897535999151,23.142019826202624,13.349806585532995,6.233177104681613,13.349698475435563,0.03480633887032525,1,1,0.0716834539880307,0.074787634283528,0.18476360155933402,2.5774930096167634,True,True,9.33616829055857e-15,6.87584604462563e-15,6.3155981126285585e-15,True,0.06417136132970501,0.4652866157331114,True,A-B|B-A|B-C|C-D|D-A|E-C
