pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
two-triangles,2X3,720,10,True,72,2313,485,485,0,1.6064724347783121,13.574297351517897,24.111815879067564,13.425129812595927,1.841018003383056,13.425129743893851,0.000902872494579654,1,1,0.08196115971492667,0.0628001870753773,0.19649920582880626,2.3974673676197393,True,True,6.0959713274588425e-15,2.5191243151151853e-15,5.551115123125783e-15,True,0.06381402746950593,0.4431883781158899,True,A-D|B-F|C-A|D-B|E-C|F-E
arrow,rectangle-same,78,10,True,12,378,46,46,0,1.6532792424642642,14.487309830080033,21.705083397159232,14.1190027764077,2.1005477748624584,14.118933819930014,0.0010373268025887228,2,1,0.08124911860976425,0.058701367824876546,0.1959496917157145,2.4117146754151486,True,True,8.972910126548661e-15,5.691449808321057e-15,6.936895214610187e-15,True,0.19131146079259734,0.32651322683833955,True,A-A|B-D|C-A|C-C|D-C|E-B
two-triangles,vertical-parallelepiped,720,10,True,64,2553,507,507,0,1.5645871688464117,13.7187305400891,24.06320351852984,13.539621448407372,1.8119404200900302,13.539594501209265,0.0009870194437251456,1,1,0.07971141614239602,0.044999846697151034,0.19112061180842763,2.397656710389022,True,True,9.032280487916265e-15,8.118427983604312e-15,3.958941510987921e-15,True,0.06381402746950593,0.4431883781158899,True,A-C|B-D|C-A|D-E|E-B|F-F
rhombus-ext,2X3,180,10,True,52,301,97,97,0,1.8447977789740164,13.863595957694152,23.12338086133664,13.681121169986831,1.6289660385734455,13.681121169665996,0.0013332097303315749,1,1,0.07934576768425124,0.040596190192042206,0.19249861794691503,2.4260729156083607,True,True,3.450214054647286e-14,3.2379047844999767e-14,1.1916163935586911e-14,True,0.2057413590396566,0.4179157688864527,True,A-B|A-E|B-A|C-D|D-C|D-F
rectangle-opposite,2X3,180,10,True,72,146,94,94,0,2.776850657082022,13.647254225643604,22.257854473389038,13.362090573972516,2.407389093136195,13.362090573765302,0.003126137568076004,1,1,0.07857028811427824,0.09572875744328328,0.18747598130815898,2.3860925778391002,True,True,1.4935285297003374e-14,1.3016151710388764e-14,7.32410687763558e-15,True,0.20267351959983898,0.4182034220705242,True,A-D|A-F|B-B|C-A|D-C|D-E
two-triangles,rectangle-same,180,10,True,6,790,110,110,0,2.0395043439828986,14.422482989830007,21.82923005607321,13.663500922499736,2.1077862556093336,13.66350092123644,0.0012222051835122372,1,1,0.07728770540244004,0.07749176345797586,0.18603211733370975,2.407007898151891,True,True,1.887158717067183e-14,1.871384566569533e-14,2.434909185329438e-15,True,0.08736623669950835,0.48074338202529493,True,A-B|B-C|C-A|D-A|E-C|F-D
parallelepiped-ext,horizzontal-parallelepiped,180,10,True,24,635,116,116,0,1.5500054592233126,13.662236119075517,23.30751242570333,13.460592518248218,2.012655961666329,13.460592258182212,0.0011858501952968226,2,1,0.07538312078260988,0.03006990738632936,0.18523727268900378,2.491533494360875,True,True,1.0995727808960256e-14,8.71365951409179e-15,6.706576468006572e-15,True,0.17997001355847725,0.42827695480702754,True,A-A|A-B|B-F|C-D|D-C|D-E
parallelepiped-ext,pyramid,180,10,True,8,598,135,135,0,2.05880008174067,12.797730925690288,25.2979136035307,12.602390443806588,1.914893119114454,12.602382903190165,0.0012884226722729153,2,1,0.07431273302044109,0.024146584311194926,0.1811344754622413,2.504126174409558,True,True,2.081068564383056e-14,1.640126728885195e-14,1.2809491335957507e-14,True,0.15075393119658123,0.4182034220705242,True,A-A|A-E|B-C|C-B|D-D|D-F
parallelepiped-int,rectangle-opposite,34,10,True,14,84,16,16,0,8.81812287448807,13.308440090930777,21.66397071746895,13.209831883915012,1.591747671701432,13.209831345052525,0.0011949046743966463,1,1,0.07415316916327826,0.032461400254312454,0.1774213760701493,2.3926337616061186,True,True,8.68248353037211e-15,7.53644380168212e-15,4.311326371230795e-15,True,0.06381402746950593,0.4431883781158899,True,A-B|B-A|B-D|C-A|C-C|D-D
pentagon,rectangle-same,78,10,True,0,400,42,42,0,2.5441483233917346,14.418473666258205,22.34058763118284,14.078761419533048,2.506093808452115,14.078634595333785,0.0026293851164025384,1,1,0.07264073947063907,0.08863467488336661,0.17541963231495694,2.4148932622837695,True,True,1.009997900029461e-14,8.152394204457378e-15,5.962218089060634e-15,True,0.051796682337130966,0.5076261603200616,True,A-B|B-A|C-C|D-D|E-A|E-C
rectangle-opposite,pyramid,180,10,True,10,541,122,122,0,2.050029407464921,12.75822338169306,25.44913016314392,12.490023990256123,1.9952222371772588,12.489995398898959,0.0020684195889888457,2,1,0.07232202358695859,0.05985498519177075,0.1729882237959339,2.3919162547759223,True,True,5.891509130072236e-15,2.5121479338940403e-15,5.329070518200751e-15,True,0.07227321763638558,0.4182034220705242,True,A-A|A-E|B-C|C-B|D-D|D-F
base-trapezoid,rectangle-same,78,10,True,18,139,47,47,0,2.8282803920107846,15.099897535999153,23.142019826202624,13.349806585532995,6.233177104681619,13.349698475435563,0.0348063388703288,1,1,0.0716834539880307,0.074787634283528,0.18476360155933402,2.5774930096167634,True,True,9.272854936269104e-15,7.53644380168212e-15,5.4025784115714076e-15,True,0.06417136132970501,0.4652866157331114,True,A-B|B-A|B-C|C-D|D-A|E-C
parallelepiped-int,vertical-parallelepiped,180,10,True,28,698,114,114,0,1.9086723849111675,13.70799420265271,23.740900096449533,13.565273085821097,1.7350919716245592,13.565259142939942,0.0009603961388506832,1,1,0.07124360218911067,0.02407637040806445,0.17262493072313403,2.4230236178248594,True,True,1.0281408527026615e-14,9.101120538054984e-15,4.782987168225453e-15,True,0.22089390548529556,0.3914966099903299,True,A-F|B-A|B-B|C-C|C-E|D-D
vertical-parallelepiped,rectangle-opposite,180,10,True,28,565,107,107,0,1.650037514294137,13.59788116960563,23.59158977853446,13.216229804178923,2.6954965888564475,13.216229193892932,0.00178655614898382,2,1,0.07081517882699628,0.0673873834827506,0.16893695605254863,2.385603748389409,True,True,5.10702591327572e-15,2.673771110915334e-15,4.351167857633658e-15,True,0.12466421747600853,0.3926817942954417,True,A-C|B-D|C-D|D-A|E-A|F-B
vertical-parallelepiped,central-parallelepiped,360,10,True,76,965,223,223,0,1.5983891511122157,13.80683546560585,23.81952458107317,13.506921722573114,2.287932061196643,13.506875330997618,0.00101805475071437,1,1,0.07037160584580698,0.04888918261954693,0.16951181889431358,2.4088098723473106,True,True,8.184083408294512e-15,6.041286520114393e-15,5.521057726179437e-15,True,0.12466421747600853,0.42339245367800304,True,A-D|B-C|C-E|D-C|E-A|F-B
two-triangles,rectangle-opposite,180,10,True,28,706,100,100,0,2.284893215755545,13.592289620619889,23.672697162514158,13.37064257615,1.8219963719068635,13.370640390970198,0.0010971020139773913,2,1,0.0698889565502984,0.060400101468632325,0.167316125531864,2.3940280952892494,True,True,8.056005020727291e-15,5.9383960505938e-15,5.443773437632694e-15,True,0.0682571759871168,0.41302574003819187,True,A-A|B-B|C-D|D-D|E-A|F-C
parallelepiped-ext,pentagon,78,10,True,0,376,43,43,0,1.960986728479046,13.908017642796342,23.367272862478302,13.73512967208171,1.975631502179116,13.735121280365965,0.0009864480870405146,1,1,0.06931735170397772,0.02978147715501179,0.1707842269353955,2.498666720286743,True,True,3.66205343881779e-15,1.7763568394002505e-15,3.2023728339893768e-15,True,0.08394112376850497,0.3581303928054846,True,A-A|A-E|B-C|C-D|D-B|D-E
central-parallelepiped,rectangle-same,78,10,True,26,165,35,35,0,1.6480725774518645,14.569518246837871,20.61777931446552,14.32878714797169,2.957372939926029,14.328677136538214,0.0032060273748495405,1,1,0.06909441773567303,0.052825214477683506,0.1669633731731511,2.4164524232896016,True,True,3.086979062946463e-14,1.020439314654103e-14,2.9134418374455476e-14,True,0.08546886265131835,0.41981971932396717,True,A-A|B-A|C-B|C-D|D-C|E-C
parallelepiped-int,rectangle-same,34,10,True,6,99,19,19,0,2.6417934910540652,14.771156585687336,20.66114673920265,14.567964847627444,1.9333871176279183,14.567963158852244,0.0012024508201857742,2,1,0.06777703446058507,0.038340387308028544,0.1629367077018019,2.4040105767176314,True,True,7.421282465561656e-15,6.264895172519358e-15,3.978256139440565e-15,True,0.08446371459322005,0.41302574003819187,True,A-A|B-B|B-C|C-A|C-D|D-C
rectangle-same,2X3,180,10,True,60,141,106,106,0,1.6828472797268867,14.228228592605353,25.998537649256704,12.823494113589923,5.52295100866609,12.823494113589923,0.036695451511043586,1,1,0.06636384200970773,0.09762930858610257,0.1706864994166224,2.5879781185564807,True,True,3.1937394233887776e-14,1.8288713016877624e-14,2.6182439279735938e-14,True,0.18766536013371668,0.32651322683833955,True,A-A|A-E|B-C|C-B|C-F|D-D
vertical-parallelepiped,horizzontal-parallelepiped,720,10,True,172,2002,416,416,0,1.6605310683673775,13.739445706502327,23.89106871866905,13.456554612598046,2.127670020337289,13.456552978297644,0.0011082782175755312,1,1,0.06620669122387042,0.049521212065440356,0.15940135546823123,2.407632106688939,True,True,9.984602991471688e-15,8.131199457573037e-15,5.794470836795135e-15,True,0.12466421747600853,0.42339245367800304,True,A-C|B-F|C-D|D-E|E-A|F-B
rectangle-same,pyramid,180,10,True,24,427,118,118,0,2.6561762057956444,13.888622946445727,26.91459206074903,12.934082131259935,4.96274572431085,12.934082131259935,0.02048285799901528,1,1,0.06571177367493274,0.07094398788852405,0.17025640365308084,2.59095736017287,True,True,5.388872059480397e-15,2.094764613337708e-15,4.965068306494546e-15,True,0.07967377036950707,0.32651322683833955,True,A-C|A-F|B-D|C-B|C-E|D-A
