pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
arrow,rectangle-same,78,10,True,12,379,46,46,0,1.7331865579589607,14.481597347089826,21.70853150212247,14.02573276272593,2.1623938637666886,14.025685559606595,0.01417459044739644,1,1,0.08186427914217029,0.05878952471283449,0.1974410158256297,2.411809129629568,True,True,8.71365951409179e-15,3.972054645195637e-15,7.755684626330685e-15,True,0.3225343898119573,0.36898991146262244,True,A-D|B-A|C-A|C-C|D-B|E-C
two-triangles,pentagon,360,10,True,0,1295,249,249,0,1.6753529630700879,14.056828240572445,24.042323971263784,13.815768028591005,1.8996618877151312,13.815733748481861,0.013457177515912022,1,1,0.08182541487084713,0.04291501755928883,0.19786888161803753,2.4181836649450896,True,True,4.189529226675416e-15,3.972054645195637e-15,1.3322676295501878e-15,True,0.08362358299111744,0.4331407140208836,True,A-E|B-A|C-C|D-D|E-B|F-E
two-triangles,rectangle-same,180,10,True,6,790,110,110,0,1.9959441980532602,14.495816167173247,21.832649856865785,14.22644833904143,2.2076177805964345,14.226409229553923,0.014912803109275785,2,1,0.07929366181677094,0.07403124162695397,0.18929262055138615,2.3872351990603864,True,True,9.26811891921378e-15,8.993235485276557e-15,2.240478477256787e-15,True,0.09819260648924258,0.32651322683833955,True,A-D|B-C|C-A|D-A|E-C|F-B
2X3,rectangle-same,180,10,True,60,146,106,106,0,2.2035538716744716,14.876312425828703,21.703280754211267,14.622400751670776,1.9784873166102703,14.622276686270286,0.017861464728706977,3,1,0.07897373159916832,0.089578567507194,0.18850936377499367,2.4023883618667004,True,True,1.2641072683983042e-14,9.21150645214099e-15,8.657070375358349e-15,True,0.2720719740097186,0.4179157688864527,True,A-D|B-A|C-C|D-A|E-B|F-C
rectangle-opposite,2X3,180,10,True,72,148,94,94,0,2.587185777851382,13.785007260228067,22.303847452878692,13.49009390139932,2.6029860465761807,13.490051147861145,0.017877713234057957,1,1,0.07857028811427824,0.09572875744328328,0.18747598130815898,2.3860925778391002,True,True,9.138805143198866e-15,4.232338505691246e-15,8.099695686789796e-15,True,0.20267351959983898,0.4182034220705242,True,A-D|A-F|B-B|C-A|D-C|D-E
two-triangles,vertical-parallelepiped,720,10,True,64,2555,507,507,0,1.6195085013683852,13.730600098252278,24.110243131196068,13.570876115525992,1.8744220065508177,13.570876016184187,0.012595604450050146,2,1,0.0781245754259218,0.04460593033582902,0.18711404230468417,2.3950727576383035,True,True,5.069478195820875e-15,3.2023728339893768e-15,3.9299386013053845e-15,True,0.07593647992733599,0.41302574003819187,True,A-E|B-C|C-F|D-D|E-A|F-B
rhombus-ext,2X3,180,10,True,52,296,97,97,0,2.125700319018709,13.87897061414397,23.174431942909173,13.688158205152893,1.5332576561030762,13.688155889367279,0.013376292241012777,2,1,0.07643206855689902,0.04050936415116719,0.18540820276268902,2.425790721922748,True,True,6.240531179751792e-15,5.177158916147226e-15,3.4844303641214547e-15,True,0.23992542840060163,0.4475031594694418,True,A-A|A-D|B-C|C-F|D-B|D-E
parallelepiped-ext,pyramid,180,10,True,8,597,135,135,0,1.729039143992851,12.860861052468401,25.30438142337293,12.652077548895898,2.0453561167652112,12.652077548895898,0.016175738289719632,2,1,0.07431273302044109,0.024146584311194926,0.1811344754622413,2.504126174409558,True,True,4.165926057296536e-15,3.972054645195637e-15,1.2560739669470201e-15,True,0.15075393119658123,0.4182034220705242,True,A-A|A-E|B-C|C-B|D-D|D-F
parallelepiped-int,rectangle-opposite,34,10,True,14,84,16,16,0,8.82397620779657,13.323340548767604,21.684789197465093,13.20987250488399,1.6117016983220647,13.209831345052525,0.017348969918558055,1,1,0.07415316916327826,0.032461400254312454,0.1774213760701493,2.3926337616061186,True,True,9.982133694292471e-15,2.3603665272841412e-15,9.699054745056637e-15,True,0.06381402746950593,0.4431883781158899,True,A-B|B-A|B-D|C-A|C-C|D-D
two-triangles,2X3,720,10,True,72,2314,485,485,0,1.59821693059193,13.605889539352773,24.18042233071413,13.44959693471149,1.9139177681602306,13.449591327367509,0.013057432730401608,3,1,0.07291774869632774,0.05959270951267064,0.17518345713646333,2.4024803325460575,True,True,1.0195623394181645e-14,5.872198855799213e-15,8.334747566299442e-15,True,0.05975177804465073,0.3914966099903299,True,A-E|B-A|C-B|D-F|E-D|F-C
