pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
two-triangles,2X3,720,10,True,72,2328,485,485,0,1.5795202748417956,13.645621368685322,24.202674591692812,13.428315218329693,2.1703391706329844,13.428190816427644,0.018653881319576016,1,1,0.08196115971492667,0.0628001870753773,0.19649920582880626,2.3974673676197393,True,True,9.136265349348076e-15,9.057678187205881e-15,1.1957467920563633e-15,True,0.06381402746950593,0.4431883781158899,True,A-D|B-F|C-A|D-B|E-C|F-E
two-triangles,pentagon,360,10,True,0,1301,249,249,0,1.621059432729246,14.08895284383268,24.11409438511913,13.811351862783415,2.205118203872622,13.811233317085815,0.020335485490649674,1,1,0.08182541487084713,0.04291501755928883,0.19786888161803753,2.4181836649450896,True,True,9.447339088588439e-15,8.881784197001252e-15,3.219646771412954e-15,True,0.08362358299111744,0.4331407140208836,True,A-E|B-A|C-C|D-D|E-B|F-E
two-triangles,vertical-parallelepiped,720,10,True,64,2567,507,507,0,1.5261811635152502,13.776405500465815,24.13541795634475,13.5586259265194,2.0967485791911575,13.558431859101663,0.017313638309138568,1,1,0.07971141614239602,0.044999846697151034,0.19112061180842763,2.397656710389022,True,True,1.105605998782227e-14,5.617333549722722e-15,9.522711076446882e-15,True,0.06381402746950593,0.4431883781158899,True,A-C|B-D|C-A|D-E|E-B|F-F
rhombus-ext,2X3,180,10,True,52,305,97,97,0,1.6152925624181962,13.902472706267009,23.208053807193235,13.66310398319246,2.065127802061871,13.662942669524798,0.025106110984671304,1,1,0.07934576768425124,0.040596190192042206,0.19249861794691503,2.4260729156083607,True,True,7.857524532904002e-15,7.377764055609925e-15,2.7035697373913694e-15,True,0.2057413590396566,0.4179157688864527,True,A-B|A-E|B-A|C-D|D-C|D-F
rhombus-int,rectangle-same,34,10,True,8,75,19,19,0,2.142562327680716,14.964282833079109,21.533319506065464,14.851447075985124,2.155445670030082,14.851395092342228,0.02311327877275282,1,1,0.07730757313581761,0.05214091184106792,0.18632873124041832,2.410226109582656,True,True,0.06864803508889192,0.011703603635636045,0.06764302169112246,True,0.21208042512686553,0.4633533918727237,True,A-B|B-A|B-C|C-A|C-C|D-D
two-triangles,rectangle-same,180,10,True,6,795,110,110,0,2.291215210583931,14.555216179247909,21.944519808826154,14.098833958821743,2.5075537565403296,14.098169043255336,0.019373952876931,1,1,0.07728770540244004,0.07749176345797586,0.18603211733370975,2.407007898151891,True,True,1.0999195283044102e-14,6.4047456679787536e-15,8.942121102011927e-15,True,0.08736623669950835,0.48074338202529493,True,A-B|B-C|C-A|D-A|E-C|F-D
pentagon,rectangle-same,78,10,True,0,405,42,42,0,2.171074623361927,14.633781735456473,22.468032857396228,14.139140030365299,3.0374922583069544,14.139001583725978,0.043758935977374236,1,1,0.07264073947063907,0.08863467488336661,0.17541963231495694,2.4148932622837695,True,True,8.165424295817737e-15,7.32410687763558e-15,3.609932461376776e-15,True,0.051796682337130966,0.5076261603200616,True,A-B|B-A|C-C|D-D|E-A|E-C
rectangle-opposite,pyramid,180,10,True,10,545,122,122,0,1.856975983313105,12.856037791812298,25.482534569091328,12.524615966880992,2.401419862921667,12.524615966880992,0.02581922438610995,2,1,0.07232202358695859,0.05985498519177075,0.1729882237959339,2.3919162547759223,True,True,7.910679901056899e-15,7.378599352986574e-15,2.8522145930998398e-15,True,0.07227321763638558,0.4182034220705242,True,A-A|A-E|B-C|C-B|D-D|D-F
base-trapezoid,rectangle-same,78,10,True,18,140,47,47,0,3.0011346246182167,16.452180861367104,23.504550197597805,13.754847686460554,7.337555957050685,13.751116369270424,0.09630714849065747,1,1,0.0716834539880307,0.074787634283528,0.18476360155933402,2.5774930096167634,True,True,0.2351644848924641,0.049242066461219806,0.22995119883437615,True,0.06417136132970501,0.4652866157331114,True,A-B|B-A|B-C|C-D|D-A|E-C
vertical-parallelepiped,rectangle-opposite,180,10,True,28,569,107,107,0,1.60236737948609,13.674313411381377,23.65745919846742,13.23401096755452,2.9904324304162415,13.233838485053056,0.027066284389759332,1,1,0.07120813442612012,0.06760527928929218,0.16991250173750383,2.3861389307115113,True,True,0.9465518636068799,0.10792075724727307,0.9403794663075288,True,0.09723058338835644,0.32651322683833955,True,A-D|B-A|C-A|D-B|E-C|F-D
