pay_layout,gnd_layout,n_routings_checked,n_poses_checked,feasible,n_wcc_fail,n_wfc_fail,n_ifc_fail,n_ifc_fail_cable_cable,n_ifc_fail_exit_angle,wfc_fail_residual_min,wfc_fail_residual_median,wfc_fail_residual_max,wfc_fail_residual_force_median,wfc_fail_residual_moment_median,wfc_fail_residual_force_lateral_median,wfc_fail_residual_force_vertical_median,n_wfc_verify_attempted,n_wfc_verify_rescued,conditioning_index,manipulability,sigma_min,sigma_max,rank_ok,wfc_ok,max_wfc_residual,max_wfc_residual_force,max_wfc_residual_moment,ifc_ok,min_cable_cable_dist,min_exit_angle_margin,wfc_rescued_by_reposition,best_routing
pentagon,rectangle-same,78,10,True,0,394,42,42,0,2.152258825653004,13.912347150299581,22.339530514560316,13.385089192031682,1.9038762849908477,13.3798452185218,1.7763568394002505e-14,2,1,0.0831813363592999,0.07207353363086383,0.20053977595791778,2.4108746593309194,True,True,1.3747809685080813e-14,8.63742519090678e-15,1.0695660671912268e-14,True,0.17899285817858254,0.3503071239504709,True,A-D|B-A|C-B|D-C|E-A|E-C
two-triangles,2X3,720,10,True,72,2300,485,485,0,1.7658950956655552,13.509582332813189,24.1028999823045,13.36921736987153,1.564425538044342,13.36921736987153,1.4210854715202004e-14,1,1,0.08196115971492667,0.0628001870753773,0.19649920582880626,2.3974673676197393,True,True,4.052694235411098e-15,2.5924361388342236e-15,3.115061063895963e-15,True,0.06381402746950593,0.4431883781158899,True,A-D|B-F|C-A|D-B|E-C|F-E
two-triangles,rectangle-same,180,10,True,6,787,110,110,0,1.808339429998054,14.0585992845992,21.811912552760084,13.666195067020608,1.8672503420842212,13.666195067020608,1.5987211554602254e-14,2,1,0.07929366181677094,0.07403124162695397,0.18929262055138615,2.3872351990603864,True,True,1.2663830809654952e-14,1.096879096993053e-14,6.329157561124267e-15,True,0.09819260648924258,0.32651322683833955,True,A-D|B-C|C-A|D-A|E-C|F-B
rectangle-opposite,2X3,180,10,True,72,146,94,94,0,2.7590278714747116,13.473804153557097,22.257286234704218,13.300938957643043,2.1312837058672818,13.300938957643043,1.5987211554602254e-14,1,1,0.07857028811427824,0.09572875744328328,0.18747598130815898,2.3860925778391002,True,True,7.053193662129238e-15,6.2803698347351005e-15,3.210061615366513e-15,True,0.20267351959983898,0.4182034220705242,True,A-D|A-F|B-B|C-A|D-C|D-E
parallelepiped-int,2X3,180,10,True,52,340,102,102,0,2.594596830284037,13.685605140183588,22.414462529984924,13.544448146275446,1.4262994358738204,13.544448146275446,1.5987211554602254e-14,1,1,0.07839517805178851,0.03436818559504472,0.18915447943936697,2.4128330866779835,True,True,9.890803643341552e-15,8.847369999933273e-15,4.42176896676197e-15,True,0.32134017747260035,0.3914966099903299,True,A-E|B-A|B-C|C-B|C-D|D-F
vertical-parallelepiped,pentagon,360,10,True,0,1697,242,242,0,1.6276816392036348,13.852171906891169,23.65374608600917,13.69058780613949,1.7113417917308342,13.69058780613949,1.5987211554602254e-14,1,1,0.07269484304189201,0.04464038851492533,0.17348764992230276,2.3865193549193946,True,True,7.57823793488116e-15,6.586205684870659e-15,3.748544367384395e-15,True,0.05737978451658931,0.47076339333202394,True,A-B|B-C|C-D|D-E|E-E|F-A
rectangle-opposite,pyramid,180,10,True,10,537,122,122,0,2.050003797327434,12.727203789632181,25.43834617516408,12.489995398898959,1.7552019900359266,12.489995398898959,1.4210854715202004e-14,2,1,0.07232202358695859,0.05985498519177075,0.1729882237959339,2.3919162547759223,True,True,9.559995445354008e-15,9.516057387562985e-15,9.155133597044475e-16,True,0.07227321763638558,0.4182034220705242,True,A-A|A-E|B-C|C-B|D-D|D-F
base-trapezoid,rectangle-same,78,10,True,18,137,47,47,0,1.6926928780736274,13.549971238899985,22.758399544237967,13.377261161073953,2.6327173819323635,13.376698385336487,1.7763568394002505e-14,1,1,0.0716834539880307,0.074787634283528,0.18476360155933402,2.5774930096167634,True,True,9.010297908710425e-15,4.327721699385603e-15,7.902929412336823e-15,True,0.06417136132970501,0.4652866157331114,True,A-B|B-A|B-C|C-D|D-A|E-C
vertical-parallelepiped,rectangle-opposite,180,10,True,28,560,107,107,0,1.6985324526187504,13.508751857626295,23.559509514330916,13.225033839472994,2.580028630233203,13.225033839472994,1.4210854715202004e-14,1,1,0.07120813442612012,0.06760527928929218,0.16991250173750383,2.3861389307115113,True,True,8.37314993312497e-15,4.8984868290302385e-15,6.790763328846616e-15,True,0.09723058338835644,0.32651322683833955,True,A-D|B-A|C-A|D-B|E-C|F-D
vertical-parallelepiped,central-parallelepiped,360,10,True,76,962,223,223,0,1.6014538426165061,13.791054414527043,23.81883352731708,13.512360051332596,2.030348179504675,13.512360051332596,1.4210854715202004e-14,1,1,0.07037160584580698,0.04888918261954693,0.16951181889431358,2.4088098723473106,True,True,1.3025164374969315e-14,1.158919627427189e-14,5.945202831810897e-15,True,0.12466421747600853,0.42339245367800304,True,A-D|B-C|C-E|D-C|E-A|F-B
central-parallelepiped,rectangle-same,78,10,True,26,164,35,35,0,1.8879570930454348,14.563044033979272,20.610494928624178,14.208150056473237,2.715158958745631,14.208150056473237,1.5987211554602254e-14,1,1,0.06909441773567303,0.052825214477683506,0.1669633731731511,2.4164524232896016,True,True,8.20382700113664e-15,5.670023225319915e-15,5.929048329109094e-15,True,0.08546886265131835,0.41981971932396717,True,A-A|B-A|C-B|C-D|D-C|E-C
parallelepiped-ext,rectangle-same,34,10,True,6,81,22,22,0,2.525603954266007,13.997315886106357,20.94548507037815,13.98625982130133,1.9388216431040544,13.98625982130133,1.2434497875801753e-14,1,1,0.06716894436368417,0.03713296672214445,0.1530159033631809,2.4700316283145196,True,True,1.57371865965033e-14,1.1996312224386126e-14,1.0185653390343063e-14,True,0.10890466670150069,0.3926817942954417,True,A-A|A-C|B-B|C-D|D-A|D-C
central-parallelepiped,vertical-parallelepiped,360,10,True,76,1165,172,172,0,1.8214210508641453,13.839050062229905,23.859553582085997,13.550191519234243,2.000925783225377,13.550191519234243,1.2434497875801753e-14,2,1,0.06697927896490996,0.04846847538470737,0.16112011695940953,2.4055218188272733,True,True,8.212098119582954e-15,7.54808783645507e-15,3.2349537150965427e-15,True,0.05964205579867091,0.32651322683833955,True,A-E|B-F|C-B|C-D|D-A|E-C
hexagon,pyramid,720,10,True,0,1965,566,566,0,1.6125973976295955,12.92298180184016,25.847939961471333,12.731972604022474,1.4229839496469001,12.731972604022474,1.4210854715202004e-14,1,1,0.06674076892725107,0.02783715713700321,0.16044046048658983,2.403934852196167,True,True,6.854671959125871e-15,6.358389842764979e-15,2.560743305106871e-15,True,0.06047493661516633,0.36945378526400835,True,A-E|B-F|C-C|D-D|E-A|F-B
